bigram,freq
th,1154835
he,904736
in,806016
er,679496
an,645874
re,635018
on,591071
es,574001
ti,560912
nt,542238
en,533984
st,525202
at,513853
nd,451449
or,449469
to,426109
ed,400936
is,398442
ea,396374
te,393120
it,382484
ar,376252
al,373476
of,358451
ng,344383
ha,341109
se,325202
et,313622
as,297622
io,290478
si,288163
ve,285927
de,284829
ec,281511
ro,280930
co,280277
le,272874
ou,271368
ra,270259
sa,269735
me,266728
ta,264039
ri,261417
ic,243458
li,241221
so,234363
ne,228037
hi,226449
na,225935
ce,220180
ns,219882
di,219091
el,213608
rt,213366
la,201052
em,197844
ss,195640
om,195105
no,192227
ll,192195
ca,188350
ch,187703
ma,187649
tt,187263
be,185945
ni,185187
ot,185033
fo,183955
ee,179115
pr,178874
rs,178211
ei,176347
ac,175486
ur,175102
ts,175050
nc,171480
ho,169238
ct,158673
il,156966
tr,154184
dt,151135
pe,150329
ep,150175
us,147879
eo,147415
da,141575
un,139463
lo,138109
po,137598
ft,136402
ge,132065
ly,131762
ew,130593
wi,129972
ut,129489
ie,129264
ef,126398
ol,124935
sh,122077
we,120483
su,120097
ad,118381
os,117624
pa,115867
mi,114855
wh,113039
op,111211
ul,110999
vi,108458
mo,108278
fi,107339
ci,107191
ow,106826
ev,106352
wa,105502
sp,104120
ai,104045
sc,103398
ia,102192
do,101703
iv,100961
ir,100344
am,100142
pl,98737
id,98646
im,98549
ld,92721
tu,90759
ty,90407
ga,88977
ab,88619
mp,87315
oc,85739
ds,85491
wo,84526
ap,83244
fe,83214
fa,82921
sw,82788
ry,79143
ig,77941
ls,77783
bl,77234
eg,76743
yt,76216
ag,76155
eb,76119
tw,75528
ov,74920
ht,73877
od,73580
yo,73429
rm,73009
lt,72856
gh,72692
av,72474
ke,72096
oo,71715
ya,70530
ex,70439
gi,70426
rd,69816
rc,69593
gr,69416
fr,69075
ay,66702
go,65849
uc,65675
gt,65511
rn,65039
ys,63039
du,62834
bo,61217
if,60236
cu,60224
eh,59626
ff,58817
bu,58006
ob,57904
db,56960
cr,56761
sf,55261
oa,55056
cl,54561
pp,53902
sm,53340
nf,51533
ey,51429
ba,51181
by,50447
rr,49856
yi,48939
ue,48212
sb,47292
ua,46715
dr,46029
mm,45915
up,45157
ye,44804
lu,44802
rk,44590
ru,44452
tl,43533
qu,43190
eu,42778
oi,42544
um,42386
og,42086
dw,41764
rg,41717
ki,41481
af,41117
nm,40851
va,40706
tc,40436
fu,40360
pi,39273
mu,38866
ak,38820
nw,38655
rl,38467
pu,38438
bi,38353
ud,38173
ms,37500
pt,37404
ug,37385
au,37225
sl,36999
rp,36554
nn,35797
sn,35497
mb,35413
sr,35112
ny,34944
ui,34722
tm,34610
dc,34546
dd,34366
ib,33805
nu,33444
df,33385
cc,32649
br,32535
np,31817
tb,31742
ub,31460
dp,31287
gs,31224
ck,31221
nl,30950
yc,30922
gu,30701
aw,30641
nb,30263
hr,30200
yw,29895
tp,29787
ip,29753
tf,29597
sd,29368
dm,29114
rv,29066
rw,28058
mt,27863
lp,26931
dh,26678
nh,26473
gn,26173
lc,26026
nv,25713
rf,25569
yp,25415
oe,25379
dl,24573
lf,24216
fl,24065
yb,23772
fs,23610
xp,23539
gl,23040
ym,23004
eq,22730
ph,22468
nr,22327
hu,21999
sy,21373
lb,21117
rb,21108
wn,21071
vo,21043
yf,21039
ks,20935
fc,20774
oh,20485
dg,20300
ps,20254
dn,20239
ok,20032
hs,19729
td,19599
rh,19506
nk,19203
ju,18893
je,18197
yd,18194
yr,17857
cy,17840
sk,17763
yh,17643
jo,17286
fp,16927
lr,16856
lm,16790
dy,16548
xt,16269
lw,16255
ws,15805
tn,15789
iz,15713
ka,15471
cs,15325
oy,14832
ek,14753
gp,14642
ik,14511
bs,14419
wt,14276
sg,14061
my,13843
yl,13736
lv,13636
gc,13554
hc,13337
gw,13220
dv,13148
fm,12884
kn,12783
ah,12715
gf,12540
hw,12490
hy,12301
fw,12154
hn,12139
ze,12077
gg,12069
gy,11782
yn,11616
fh,11501
